Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)"
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Nov-23, 681, 651, 30, 423, 407, 228, 244,65.0,62.5,4.4
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Nov-23, 82, 82, 0, 54, 42, 28, 40,65.9,51.2,0.0
Sydney-Hobart,Sydney,Hobart,All Airlines,Nov-23, 238, 233, 5, 160, 162, 73, 71,68.7,69.5,2.1
Sydney-Launceston,Sydney,Launceston,All Airlines,Nov-23, 117, 114, 3, 78, 77, 36, 37,68.4,67.5,2.6
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Nov-23,2 248,2 051, 197,1 196,1 225, 855, 826,58.3,59.7,8.8
Sydney-Perth,Sydney,Perth,All Airlines,Nov-23, 410, 398, 12, 174, 225, 224, 173,43.7,56.5,2.9
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Nov-23, 192, 189, 3, 123, 129, 66, 60,65.1,68.3,1.6
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Nov-23, 223, 219, 4, 142, 136, 77, 83,64.8,62.1,1.8
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Nov-23, 194, 189, 5, 128, 132, 61, 57,67.7,69.8,2.6
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Nov-23, 326, 322, 4, 198, 196, 124, 126,61.5,60.9,1.2
Townsville-Cairns,Townsville,Cairns,All Airlines,Nov-23, 155, 143, 12, 119, 119, 24, 24,83.2,83.2,7.7
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Nov-23, 194, 188, 6, 139, 132, 49, 56,73.9,70.2,3.1
All Ports-All Ports,All Ports,All Ports,All Airlines,Nov-23,45 357,43 684,1 673,28 774,28 005,14 910,15 679,65.9,64.1,3.7
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Bonza,Dec-23, 12, 12, 0, 7, 7, 5, 5,58.3,58.3,0.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Bonza,Dec-23, 12, 12, 0, 4, 4, 8, 8,33.3,33.3,0.0
Melbourne-Mildura,Melbourne,Mildura,Bonza,Dec-23, 9, 8, 1, 2, 2, 6, 6,25.0,25.0,11.1
Mildura-Melbourne,Mildura,Melbourne,Bonza,Dec-23, 9, 8, 1, 1, 1, 7, 7,12.5,12.5,11.1
Gold Coast-Melbourne,Gold Coast,Melbourne,Bonza,Dec-23, 14, 6, 8, 1, 1, 5, 5,16.7,16.7,57.1
Melbourne-Gold Coast,Melbourne,Gold Coast,Bonza,Dec-23, 14, 6, 8, 1, 1, 5, 5,16.7,16.7,57.1
All Ports-All Ports,All Ports,All Ports,Bonza,Dec-23, 701, 565, 136, 297, 311, 268, 254,52.6,55.0,19.4
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,Dec-23, 30, 30, 0, 18, 18, 12, 12,60.0,60.0,0.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,Dec-23, 33, 31, 2, 24, 23, 7, 8,77.4,74.2,6.1
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,Dec-23, 102, 96, 6, 51, 55, 45, 41,53.1,57.3,5.9
Adelaide-Perth,Adelaide,Perth,Jetstar,Dec-23, 31, 31, 0, 22, 22, 9, 9,71.0,71.0,0.0
Adelaide-Sydney,Adelaide,Sydney,Jetstar,Dec-23, 136, 123, 13, 79, 77, 44, 46,64.2,62.6,9.6
Ballina-Sydney,Ballina,Sydney,Jetstar,Dec-23, 89, 89, 0, 64, 67, 25, 22,71.9,75.3,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,Dec-23, 34, 30, 4, 13, 15, 17, 15,43.3,50.0,11.8
Brisbane-Cairns,Brisbane,Cairns,Jetstar,Dec-23, 97, 86, 11, 59, 59, 27, 27,68.6,68.6,11.3
Brisbane-Canberra,Brisbane,Canberra,Jetstar,Dec-23, 31, 31, 0, 13, 14, 18, 17,41.9,45.2,0.0
Brisbane-Darwin,Brisbane,Darwin,Jetstar,Dec-23, 27, 24, 3, 8, 8, 16, 16,33.3,33.3,11.1
Brisbane-Hobart,Brisbane,Hobart,Jetstar,Dec-23, 36, 35, 1, 25, 26, 10, 9,71.4,74.3,2.8
Brisbane-Launceston,Brisbane,Launceston,Jetstar,Dec-23, 26, 26, 0, 7, 9, 19, 17,26.9,34.6,0.0
Brisbane-Mackay,Brisbane,Mackay,Jetstar,Dec-23, 31, 31, 0, 22, 23, 9, 8,71.0,74.2,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,Dec-23, 153, 141, 12, 72, 78, 69, 63,51.1,55.3,7.8
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,Dec-23, 59, 57, 2, 47, 47, 10, 10,82.5,82.5,3.4
Brisbane-Perth,Brisbane,Perth,Jetstar,Dec-23, 24, 22, 2, 7, 13, 15, 9,31.8,59.1,8.3
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,Dec-23, 49, 48, 1, 21, 25, 27, 23,43.8,52.1,2.0
Brisbane-Sydney,Brisbane,Sydney,Jetstar,Dec-23, 200, 184, 16, 108, 118, 76, 66,58.7,64.1,8.0
Brisbane-Townsville,Brisbane,Townsville,Jetstar,Dec-23, 52, 52, 0, 28, 24, 24, 28,53.8,46.2,0.0
Cairns-Brisbane,Cairns,Brisbane,Jetstar,Dec-23, 98, 87, 11, 56, 59, 31, 28,64.4,67.8,11.2
Cairns-Melbourne,Cairns,Melbourne,Jetstar,Dec-23, 110, 95, 15, 62, 61, 33, 34,65.3,64.2,13.6
Cairns-Sydney,Cairns,Sydney,Jetstar,Dec-23, 110, 93, 17, 56, 57, 37, 36,60.2,61.3,15.5
Canberra-Brisbane,Canberra,Brisbane,Jetstar,Dec-23, 32, 31, 1, 12, 12, 19, 19,38.7,38.7,3.1
Canberra-Gold Coast,Canberra,Gold Coast,Jetstar,Dec-23, 23, 23, 0, 12, 17, 11, 6,52.2,73.9,0.0
Canberra-Melbourne,Canberra,Melbourne,Jetstar,Dec-23, 32, 32, 0, 13, 16, 19, 16,40.6,50.0,0.0
Darwin-Brisbane,Darwin,Brisbane,Jetstar,Dec-23, 25, 22, 3, 5, 9, 17, 13,22.7,40.9,12.0
Darwin-Melbourne,Darwin,Melbourne,Jetstar,Dec-23, 23, 23, 0, 7, 8, 16, 15,30.4,34.8,0.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,Dec-23, 33, 31, 2, 24, 26, 7, 5,77.4,83.9,6.1
Gold Coast-Canberra,Gold Coast,Canberra,Jetstar,Dec-23, 23, 23, 0, 17, 18, 6, 5,73.9,78.3,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,Dec-23, 249, 234, 15, 141, 153, 93, 81,60.3,65.4,6.0
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,Dec-23, 265, 253, 12, 178, 180, 75, 73,70.4,71.1,4.5
Hamilton Island-Sydney,Hamilton Island,Sydney,Jetstar,Dec-23, 23, 23, 0, 14, 16, 9, 7,60.9,69.6,0.0
Hobart-Brisbane,Hobart,Brisbane,Jetstar,Dec-23, 36, 35, 1, 18, 17, 17, 18,51.4,48.6,2.8
Hobart-Melbourne,Hobart,Melbourne,Jetstar,Dec-23, 211, 200, 11, 119, 121, 81, 79,59.5,60.5,5.2
Hobart-Sydney,Hobart,Sydney,Jetstar,Dec-23, 103, 102, 1, 75, 77, 27, 25,73.5,75.5,1.0
Launceston-Brisbane,Launceston,Brisbane,Jetstar,Dec-23, 29, 28, 1, 5, 9, 23, 19,17.9,32.1,3.4
Launceston-Melbourne,Launceston,Melbourne,Jetstar,Dec-23, 154, 148, 6, 77, 84, 71, 64,52.0,56.8,3.9
Launceston-Sydney,Launceston,Sydney,Jetstar,Dec-23, 59, 59, 0, 43, 44, 16, 15,72.9,74.6,0.0
Mackay-Brisbane,Mackay,Brisbane,Jetstar,Dec-23, 31, 31, 0, 19, 19, 12, 12,61.3,61.3,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,Dec-23, 102, 98, 4, 55, 56, 43, 42,56.1,57.1,3.9
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,Dec-23, 156, 145, 11, 74, 69, 71, 76,51.0,47.6,7.1
Melbourne-Cairns,Melbourne,Cairns,Jetstar,Dec-23, 111, 96, 15, 56, 53, 40, 43,58.3,55.2,13.5
Melbourne-Canberra,Melbourne,Canberra,Jetstar,Dec-23, 32, 32, 0, 17, 15, 15, 17,53.1,46.9,0.0
Melbourne-Darwin,Melbourne,Darwin,Jetstar,Dec-23, 23, 23, 0, 16, 15, 7, 8,69.6,65.2,0.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,Dec-23, 249, 235, 14, 149, 137, 86, 98,63.4,58.3,5.6
Melbourne-Hobart,Melbourne,Hobart,Jetstar,Dec-23, 210, 199, 11, 133, 132, 66, 67,66.8,66.3,5.2
Melbourne-Launceston,Melbourne,Launceston,Jetstar,Dec-23, 152, 148, 4, 89, 92, 59, 56,60.1,62.2,2.6
Melbourne-Newcastle,Melbourne,Newcastle,Jetstar,Dec-23, 65, 64, 1, 39, 36, 25, 28,60.9,56.3,1.5
Melbourne-Perth,Melbourne,Perth,Jetstar,Dec-23, 87, 86, 1, 64, 58, 22, 28,74.4,67.4,1.1
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Jetstar,Dec-23, 89, 89, 0, 71, 66, 18, 23,79.8,74.2,0.0
Melbourne-Sydney,Melbourne,Sydney,Jetstar,Dec-23, 428, 386, 42, 221, 227, 165, 159,57.3,58.8,9.8
Newcastle-Brisbane,Newcastle,Brisbane,Jetstar,Dec-23, 59, 56, 3, 37, 38, 19, 18,66.1,67.9,5.1
Newcastle-Melbourne,Newcastle,Melbourne,Jetstar,Dec-23, 64, 63, 1, 30, 28, 33, 35,47.6,44.4,1.6
Perth-Adelaide,Perth,Adelaide,Jetstar,Dec-23, 31, 31, 0, 26, 25, 5, 6,83.9,80.6,0.0
Perth-Brisbane,Perth,Brisbane,Jetstar,Dec-23, 24, 22, 2, 8, 9, 14, 13,36.4,40.9,8.3
Perth-Melbourne,Perth,Melbourne,Jetstar,Dec-23, 88, 85, 3, 50, 57, 35, 28,58.8,67.1,3.4
Perth-Sydney,Perth,Sydney,Jetstar,Dec-23, 58, 58, 0, 31, 32, 27, 26,53.4,55.2,0.0
Proserpine-Brisbane,Proserpine,Brisbane,Jetstar,Dec-23, 49, 48, 1, 22, 17, 26, 31,45.8,35.4,2.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Jetstar,Dec-23, 92, 88, 4, 50, 60, 38, 28,56.8,68.2,4.3
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Jetstar,Dec-23, 120, 115, 5, 71, 71, 44, 44,61.7,61.7,4.2
Sydney-Adelaide,Sydney,Adelaide,Jetstar,Dec-23, 136, 123, 13, 71, 75, 52, 48,57.7,61.0,9.6
Sydney-Ballina,Sydney,Ballina,Jetstar,Dec-23, 89, 89, 0, 68, 70, 21, 19,76.4,78.7,0.0
Sydney-Brisbane,Sydney,Brisbane,Jetstar,Dec-23, 198, 183, 15, 101, 101, 82, 82,55.2,55.2,7.6
Sydney-Cairns,Sydney,Cairns,Jetstar,Dec-23, 109, 93, 16, 64, 55, 29, 38,68.8,59.1,14.7
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,Dec-23, 263, 251, 12, 185, 178, 66, 73,73.7,70.9,4.6
Sydney-Hamilton Island,Sydney,Hamilton Island,Jetstar,Dec-23, 24, 24, 0, 16, 13, 8, 11,66.7,54.2,0.0
Sydney-Hobart,Sydney,Hobart,Jetstar,Dec-23, 105, 104, 1, 76, 79, 28, 25,73.1,76.0,1.0
Sydney-Launceston,Sydney,Launceston,Jetstar,Dec-23, 61, 61, 0, 47, 50, 14, 11,77.0,82.0,0.0
Sydney-Melbourne,Sydney,Melbourne,Jetstar,Dec-23, 429, 388, 41, 238, 235, 150, 153,61.3,60.6,9.6
Sydney-Perth,Sydney,Perth,Jetstar,Dec-23, 58, 58, 0, 35, 37, 23, 21,60.3,63.8,0.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Jetstar,Dec-23, 120, 116, 4, 82, 83, 34, 33,70.7,71.6,3.3
Townsville-Brisbane,Townsville,Brisbane,Jetstar,Dec-23, 53, 50, 3, 19, 20, 31, 30,38.0,40.0,5.7
All Ports-All Ports,All Ports,All Ports,Jetstar,Dec-23,8 193,7 743, 450,4 805,4 876,2 938,2 867,62.1,63.0,5.5
Brisbane-Hobart,Brisbane,Hobart,Qantas,Dec-23, 14, 14, 0, 13, 13, 1, 1,92.9,92.9,0.0
